smiles,smiles,ratio,value
Cl[Zn]Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],0.67:0.33,67.8
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CC#N)C#N,0.05:0.95,34
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C=C1)CC(=O)O,0.33:0.67,33
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.20:0.80,35.15
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:2,-63.19
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCC(=O)O,0.10:0.90,52.35
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,227:273,62.05
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.90:0.10,237.03
[Cl-].C[N+](C)(C)CCO,Cc1cccc(O)c1C,1:3,17.65
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.60:0.40,66.33
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,0.25:0.75,-8
C[N+](C)(C)CCO.[Cl-],C(C(C(CO)O)O)O,0.40:0.60,29
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CC1=CC(=C(C=C1)C(C)C)O,0.30:0.70,-13.15
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:4,-12.95
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,CC(O)C(O)=O,1:3,-56.29
CC1CCC(C(C1)O)C(C)C,CC(C1CCCCC1)C(=O)O,0.60:0.40,2.305
C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,0.50:0.50,-15.16
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.70:0.30,145.35
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCCCCCCCCCCCCO,0.80:0.20,58.15
C[N+](C)(C)CCO.[Cl-],C(CCO)CO,0.33:0.67,49.13
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.20:0.80,40.05
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.90:0.10,256.15
C(#N)[S-].[NH4+],C(=O)(N)N,0.75:0.25,95.6
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.40:0.60,43.56
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCC(=O)O,0.85:0.15,226.65
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.65:0.35,7.46
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.40:0.60,56.83
C[N+](C)(C)CCO.[Cl-],C1=CC=C(C(=C1)C(=O)O)O,0.40:0.60,79.55
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(=O)(N)N,0.80:0.20,27.14
